Nome_Escola,REDE,NO_DISTRITO,ID_LATITUDE,ID_LONGITUDE,Municipio,ANO_CENSO,PK_COD_ENTIDADE,ID_DEPENDENCIA_ADM,Dependencia_Administrativa,UF,Endereco,Nr_Endereco,Complemento_Endereco,Bairro,CEP,DDD,Telefone,Telefone_Publico_1,Fax,Correio_Eletronico,Situacao_Funcionamento,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,FINSLUCRATIVOS,MOD_ATIV_COMPLEMENTAR,FUNC_PREDIO_ESCOLAR,FUNC_SALAS_EMPRESA,FUNC_PRISIONAL,FUNC_TEMPLO_IGREJA,FUNC_CASA_PROFESSOR,FUNC_GALPAO,FUNC_OUTROS,FUNC_SALAS_OUTRA_ESC,NUM_CNPJ_ESCOLA_PRIVADA,NUM_CNPJ_UNIDADE_EXECUTORA,CONVENIADA_PP,TIPO_CONVENIO_PODER_PUBLICO,ACESSIBILIDADE,REFEITORIO,DESPENSA,AUDITORIO,LABORATORIO_INFORMATICA,LABORATORIO_CIENCIAS,QUADRA_ESPORTES_COBERTA,QUADRA_ESPORTES_DESCOBERTA,PATIO_COBERTO,PATIO_DESCOBERTO,PARQUE_INFANTIL,BIBLIOTECA,BERCARIO,SANITARIO_DENTRO_PREDIO,SANITARIO_FORA_PREDIO,BANHEIRO_CHUVEIRO,NUM_SALAS_EXISTENTES,NUM_SALAS_UTILIZADAS,SALA_LEITURA,AREA_VERDE,NUM_FUNCIONARIOS,ALIMENTACAO,AGUA_FILTRADA,AGUA_REDE_PUBLICA,AGUA_POCO_ARTESIANO,AGUA_CACIMBA,AGUA_FONTE_RIO,AGUA_INEXISTENTE,ENERGIA_REDE_PUBLICA,ENERGIA_GERADOR,ESGOTO_REDE_PUBLICA,ESGOTO_FOSSA,ESGOTO_INEXISTENTE,INTERNET,COMPUTADORES,NUM_COMPUTADORES,COMPUSOALUNOS,EQUIP_DVD,EQUIP_IMPRESSORA,EQUIP_SOM,EQUIP_MULTIMIDIA,EQUIP_FAX,EQUIP_FOTO,EQUIP_PARABOLICA,EQUIP_COPIADORA,EQUIP_RETRO,EQUIP_TV,EQUIP_VIDEOCASSETE,MATERIAL_ESP_NAO_UTILIZA,MATERIAL_ESP_QUILOMBOLA,MATERIAL_ESP_INDIGENA,EDUCACAO_INDIGENA,LINGUA_INDIGENA,LINGUA_PORTUGUESA,ESPACO_TURMA_PBA,ABRE_FINAL_SEMANA,MOD_ENS_REGULAR,MOD_EDUC_ESPECIAL,MOD_EJA,MATTOTAL,MATEI,MATCRECHE,MATPRE,MATEF,MATEFI,MATEF1,MATEF2,MATEF3,MATEF4,MATEF5,MATEF6,MATEF7,MATEF8,MATEF14AI,MATEF58AF,MATS,MAT1S,MAT2S,MAT3S,MAT4S,MAT5S,MAT6S,MAT7S,MAT8S,MATA,MAT1A,MAT2A,MAT3A,MAT4A,MAT5A,MAT6A,MAT7A,MAT8A,MAT9A,MATEM,MATEM1,MATEM2,MATEM3,MATEM4,MATEMNS,MATEM_EM,MATEM1_EM,MATEM2_EM,MATEM3_EM,MATEM4_EM,MATEMNS_EM,MATEM_I,MATEM1_I,MATEM2_I,MATEM3_I,MATEM4_I,MATEMNS_I,MATEM_N,MATEM1_N,MATEM2_N,MATEM3_N,MATEM4_N,MATEP,MATEPCONC,MATEPSUBSEQ,MATEJA,MATEJAEF,MATEJAEM,MATEJAP,MATEJAPEF,MATEJAP14,MATEJAP58,MATEJAPPJ,MATEJAPEM,MATEJASP,MATEJASPEF,MATEJASP14,MATEJASP58,MATEJASPEM,MATEJAEPEF,MATEJAEPNM,MATEJASPEPEF,MATEJASPEPNM,MATEEINCL,MATESPTOT,MATESP,MATESPEXCLUS,MATESPCLESP
CR P CONV PAULO SILAS,Privada,SAO LUCAS,-46.5465,-23.5906,SAO PAULO,2012,35181407,4,Privada,São Paulo,RUA PROFESSOR RUI VIANNA BRAGA,305,,VILA PAULO SILAS,3264010,,21155059,21150834,21155059,CRECHEPAULOSILAS@IBEST.COM.BR,Em Atividade,1/2/2012,31/12/2012,,Nao oferece,Cedido,Não,Não,Não,Não,Não,Não,Não,45321056000186,45321056000186,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,4,4,Não,Não,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,2,0,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
COSTA AGUIAR BABY COLEGIO,Privada,TATUAPE,-46.55035657,-23.54243599,SAO PAULO,2012,35447249,4,Privada,São Paulo,RUA CANTAGALO,2465,,2469 VILA GOMES CARDIM,3319002,11,20938444,,,COSTAAGUIARBABY@HOTMAIL.COM,Em Atividade,9/1/2012,14/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,12886422000195,12886422000195,Não,,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,6,6,Sim,Sim,18,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,3,0,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,72,72,58,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV NOSSA SENHORA DE FATIMA CRECHE,Privada,PERDIZES,-46678,-23.5504,SAO PAULO,2012,35184559,4,Privada,São Paulo,AVENIDA DOUTOR ARNALDO,1492,,SUMARE,1255000,,38657585,,,,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,62717137000119,62717137000119,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,4,4,Não,Não,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,,Não,0,0,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CR P CONV JARDIM DOS SONHOS I,Privada,BRASILANDIA,-46.6877,-23.4612,SAO PAULO,2012,35456834,4,Privada,São Paulo,JOAO PINTO DE OLIVEIRA,489,,JARDIM GUARANI,2849110,11,39212552,,,CEIJARDIM1@HOTMAIL.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Não,Não,Não,Não,Não,Não,Sim,Não,5449168000100,5449168000100,Sim,Municipal,Não,Sim,Não,Não,Não,Não,,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,5,5,Não,Não,15,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
CR P CONV FRATERNIDADE MARIA DE NAZARE,Privada,ALTO DE PINHEIROS,-46.6971,-23.5534,SAO PAULO,2012,35180634,4,Privada,São Paulo,RUA SAO MACARIO,111,,VILA MADALENA,5443040,,30326510,,,CEFRAMAN@GMAIL.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Cedido,Não,Não,Não,Não,Não,Não,Não,57277808000138,57277808000138,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Não,Não,Não,Sim,Não,Não,Não,6,6,Não,Não,13,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ILHA DO SUL CENTRO EDUCACIONAL E RECREATIVO,Privada,PINHEIROS,-46.71748217,-23.54116571,SAO PAULO,2012,35128831,4,Privada,São Paulo,RUA PADRE PEREIRA DE ANDRADE,545,,ALTO DE PINHEIROS,5469900,11,30245606,,30245614,CRIS.CONDOMINIOILHADOSUL@IG.COM.BR,Em Atividade,30/1/2012,17/12/2012,,Nao exclusivamente,Próprio,Não,Não,Não,Não,Não,Sim,Não,53988135000173,53988135000173,Não,,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,7,6,Não,Sim,25,Não,Filtrada,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,67,67,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV CAFRACI - NUCLEO II,Privada,PARELHEIROS,-46.7207,-23.7671,SAO PAULO,2012,35192788,4,Privada,São Paulo,PAVAO REAL,2,,BALNEARIO SAO JOSE,4864210,,55270519,,,CAFRACI2@YAHOO.COM.BR,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Cedido,Não,Não,Não,Não,Não,Não,Não,4427955000180,4427955000180,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,3,3,Não,Não,11,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV VALE VERDE IV,Privada,JARAGUA,-46735,-23.4521,SAO PAULO,2012,35433421,4,Privada,São Paulo,DAS TAIPAS,456,,JARDIM RINCAO,2991000,,39453977,,,VALEVERDE@GLOBO.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,2622112000100,2622112000100,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,4,4,Não,Não,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OESTE CRECHE PRE ESCOLA - SAS - USP,Pública,BUTANTA,-46.73751,-23.558117,SAO PAULO,2012,35337961,2,Estadual,São Paulo,AVENIDA PROFESSOR ALMEIDA PRADO,1272,CIDADE UNIVERSITARIA,BUTANTA,5508070,11,30914807,30914999,,,Em Atividade,1/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,,,,,Sim,Não,Não,Não,Não,Não,,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,6,6,Não,Sim,51,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,11,5,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,97,97,58,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PITANGA PORA ESCOLA,Privada,BUTANTA,-46.7413,-23.5797,SAO PAULO,2012,35142050,4,Privada,São Paulo,RUA GERALDO AMORIM,50,,JD BONFIGLIOLI,5594110,11,37312693,,37312391,PITANGAPORA@UOL.COM.BR,Em Atividade,26/1/2012,19/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,48292635000136,48292635000136,Não,,Não,Sim,Não,Não,Não,Não,,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,10,10,Não,Sim,24,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,3,0,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,86,86,58,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOIO ESCOLA,Privada,MORUMBI,-46.74348896,-23.61498011,SAO PAULO,2012,35170999,4,Privada,São Paulo,RUA MARECHAL JUAREZ TAVORA,106,,SUPER QUADRA MORUMBI,5750000,11,37443558,,37443558,ESCOLAAPOIO@IG.COM.BR,Em Atividade,30/1/2012,14/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,1902686000179,1902686000179,Não,,Não,Não,Não,Não,Não,Não,,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,9,9,Sim,Não,13,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,5,2,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,77,77,58,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV IRACI SANTANA,Privada,LAJEADO,-46.4068,-23.5374,SAO PAULO,2012,35304633,4,Privada,São Paulo,RUA CATU,184,,GUAIANAZES,8440330,11,25578985,,,CLAUDIADANIELARIBEIRO@BOL.COM.BR,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,3816478000182,3816478000182,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Sim,Não,Sim,Não,Sim,Sim,Não,Não,6,6,Não,Não,12,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEI INDIR SER FELIZ,Privada,SAO MIGUEL,-46.4466,-23.4949,SAO PAULO,2012,35419096,4,Privada,São Paulo,JOSE ALDO PIASSI,323,,SAO MIGUEL PAULISTA,8011300,,20314195,,,CEISERFELIZ@HOTMAIL.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,4676010000100,4676010000100,Sim,Municipal,Sim,Sim,Sim,Não,Não,Não,,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,3,3,Não,Não,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV CENT RECUP EDUC NUTRICIONAL II - CREN,Privada,VILA JACUI,-46.46587604,-23.48368007,SAO PAULO,2012,35287295,4,Privada,São Paulo,RUA UM,32,,SAO MIGUEL PAULISTA,3813310,,25460841,,,DIRETORIA_VJ@CREN.ORG,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,71732960000194,71732960000194,Sim,Municipal,Sim,Sim,Sim,Sim,Sim,Não,,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,7,7,Não,Não,38,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,12,1,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,79,79,59,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV ABRACCI II,Privada,ERMELINO MATARAZZO,-46.48168786,-23.49056307,SAO PAULO,2012,35286941,4,Privada,São Paulo,RUA RUI PIROZZELLI,617,,VILA PARANAGUA,3811020,,22148102,,,WANIAMARSILVEIRA@HOTMAIL.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Não,Não,Não,Não,Não,Não,Sim,Não,4401524000145,4401524000145,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,3,3,Não,Sim,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEI INDIR ESPACO CRIANCA,Privada,SAO MATEUS,-46.4835,-23.6022,SAO PAULO,2012,35059973,4,Privada,São Paulo,RUA MARGARIDA CARDOSO DOS SANTOS,416,,CIDADE SAO MATEUS,3961010,,20195959,,,ESPACOACAOSOCIAL@TERRA.COM.BR,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Cedido,Não,Não,Não,Não,Não,Sim,Não,45880499000379,45880499000379,Sim,Municipal,Sim,Sim,Não,Não,Não,Não,,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,4,4,Sim,Não,10,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,2,0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV FRANCISCO TIMOTEO LEITE,Privada,CIDADE LIDER,-46.50503496,-23.54984037,SAO PAULO,2012,35449660,4,Privada,São Paulo,LOUREIRO,161,,JARDIM SANTA MARIA,3576040,11,22531622,,,FRANCISCOTLEITE@GMAIL.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Alugado,Não,Não,Não,Não,Não,Não,Não,4914332000132,4914332000132,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,5,5,Não,Não,11,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEGRAU COLEGIO,Privada,VILA MATILDE,-46.5129763,-23.5311076,SAO PAULO,2012,35127206,4,Privada,São Paulo,RUA GOINDIRA,130,,VILA GUILHERMINA,3545050,11,26843455,,,,Em Atividade,23/1/2012,14/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,1880575000109,1880575000109,Não,,Sim,Não,Não,Não,Não,Não,,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,12,12,Não,Não,16,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,3,0,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,112,92,59,33,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
LICEU PASTEUR CURSO EXPERIMENTAL BILINGUE,Privada,VILA MARIANA,-46.6301961,-23.5928182,SAO PAULO,2012,35807813,4,Privada,São Paulo,RUA VERGUEIRO,3799,,VILA MARIANA,4101300,11,59047822,50810495,59047823,ADMINISTRACAO@FLP-SP.COM.BR,Em Atividade,30/1/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Sim,61621546000235,61621546000154,Não,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,60,62,Sim,Sim,153,Não,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,170,130,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,S,,,1083,223,59,164,693,89,90,98,81,77,73,62,62,61,435,258,0,0,0,0,0,0,0,0,0,693,89,90,98,81,77,73,62,62,61,167,61,51,55,0,0,167,61,51,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
CR P CONV JOAO SILVA,Privada,JABAQUARA,-46.6321,-23.6321,SAO PAULO,2012,35183726,4,Privada,São Paulo,RUA EDGARD PEREIRA,143,,VILA GUARANI,4312020,,50177763,,,CEIJOAOSILVA@GMAIL.COM,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Próprio,Não,Não,Não,Não,Não,Não,Não,51743235000104,51743235000104,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,4,4,Não,Sim,11,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR P CONV CRIA,Privada,BRASILANDIA,-46676,-23.4519,SAO PAULO,2012,35343572,4,Privada,São Paulo,GENERAL PENHA BRASIL,2651,INST I CONJ A,VILA NOVA CACHOEIRINHA,2673000,11,39822541,,50825041,CEICRIA@IG.COM.BR,Em Atividade,6/2/2012,21/12/2012,,Nao oferece,Cedido,Não,Não,Não,Não,Não,Não,Não,46520714000121,46520714000121,Sim,Municipal,Não,Sim,Sim,Não,Não,Não,,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,3,3,Não,Sim,9,Sim,Filtrada,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,1,0,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,S,,,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
